"","PlotID","Temperature","Density","block","HarvTime","Wei_all_per_m2","PH_max_202403270923","PH_90_202403270923","PH_max_202404300901","PH_90_202404300901","PH_max_202405151000","PH_90_202405151000","PH_max_202405290929","PH_90_202405290929","PH_max_202406121059","PH_90_202406121059","PH_max_202406241023","PH_90_202406241023","CC_m2_202403270923","CC_m2_202404300901","CC_m2_202405151000","CC_m2_202405290929","CC_m2_202406121059","CC_m2_202406241023","CC_rate_202403270923","CC_rate_202404300901","CC_rate_202405151000","CC_rate_202405290929","CC_rate_202406121059","CC_rate_202406241023","PV_m3_202403270923","PV_m3_202404300901","PV_m3_202405151000","PV_m3_202405290929","PV_m3_202406121059","PV_m3_202406241023","PV_ave_202403270923","PV_ave_202404300901","PV_ave_202405151000","PV_ave_202405290929","PV_ave_202406121059","PV_ave_202406241023","ExG_VI_202403270923","ExG_VI_202404300901","ExG_VI_202405151000","ExG_VI_202405290929","ExG_VI_202406121059","ExG_VI_202406241023","VARI_VI_202403270923","VARI_VI_202404300901","VARI_VI_202405151000","VARI_VI_202405290929","VARI_VI_202406121059","VARI_VI_202406241023","GRVI_VI_202403270923","GRVI_VI_202404300901","GRVI_VI_202405151000","GRVI_VI_202405290929","GRVI_VI_202406121059","GRVI_VI_202406241023","NDVI_median_202404300901","NDVI_median_202405151000","NDVI_median_202405290929","NDVI_median_202406121059","NDVI_median_202406241023","NDVI_median_202407080906","GNDVI_median_202404300901","GNDVI_median_202405151000","GNDVI_median_202405290929","GNDVI_median_202406121059","GNDVI_median_202406241023","GNDVI_median_202407080906","NDRE_median_202404300901","NDRE_median_202405151000","NDRE_median_202405290929","NDRE_median_202406121059","NDRE_median_202406241023","NDRE_median_202407080906"
"0","T2-49_1_0","High","sparse",2,2,570.707070707071,0,0,0.267921447753906,0.228179931640625,0.43475341796875,0.333079528808594,0,0,0,0,0,0,0,0.744036603000912,1.17445969304907,0,0,0,0,0.375776062121673,0.593161461135894,0,0,0,0,0.130839873082759,0.3100442103923,0,0,0,0,0.0660807439811915,0.156587985046616,0,0,0,0,149.055876565237,135.76688272386,0,0,0,0,0.253050368410235,0.246255234226158,0,0,0,0,0.174838521041269,0.182459795151224,0,0,0,0.829787234040788,0.868852459014969,0.384615384612426,0.225806451612175,0.294117647057093,0.624999999998047,0.655172413791974,0.714285714284014,0.499999999995833,0.333333333332222,0.428571428568367,0.555555555553498,0.168539325842507,0.204301075268598,0.176470588234256,0.049999999999875,0.124999999999219,0.0869565217389413
"1","T2-49_2_0","High","sparse",2,2,469.69696969697,0,0,0.25616455078125,0.214908599853516,0.370536804199219,0.295936584472656,0,0,0,0,0,0,0,0.715255128621095,1.10722253675711,0,0,0,0,0.361239963950048,0.559203301392482,0,0,0,0,0.117382757060031,0.251039520647635,0,0,0,0,0.0592842207373896,0.126787636690725,0,0,0,0,150.606009857559,128.77217224133,0,0,0,0,0.265651744200643,0.24360980139916,0,0,0,0,0.184222640893989,0.179065969949661,0,0,0,0.829787234040788,0.870967741934079,0.333333333331111,0.222222222221605,0.285714285712245,0.642857142854847,0.657142857141918,0.718309859153918,0.499999999995833,0.333333333332222,0.428571428568367,0.555555555554012,0.173913043477883,0.207547169810929,0.176470588234256,0.0454545454544421,0.124999999999219,0.0909090909088154
"2","T2-50_1_0","Low","standard",2,2,439.506172839506,0,0,0.2427978515625,0.201535797119141,0.4595947265625,0.323235321044922,0,0,0,0,0,0,0,0.61746222720805,1.19821515694493,0,0,0,0,0.304919618374346,0.591711188614779,0,0,0,0,0.0897418764587624,0.317268547878815,0,0,0,0,0.0443169760290185,0.156675826112995,0,0,0,0,146.79501148814,135.444784642068,0,0,0,0,0.236357634355123,0.240498964663529,0,0,0,0,0.16211659492231,0.178102266670029,0,0,0,0.807692307690754,0.870967741934079,0.333333333330555,0.225806451612175,0.285714285712245,0.642857142854847,0.629629629628464,0.714285714284694,0.454545454541322,0.333333333332222,0.428571428568367,0.560975609754729,0.152941176470408,0.207547169811125,0.142857142856122,0.0526315789472299,0.124999999999219,0.0909090909089256
"3","T2-50_2_0","Low","standard",2,2,385.185185185185,0,0,0.235427856445312,0.188873291015625,0.390174865722656,0.343605041503906,0,0,0,0,0,0,0,0.699055531863959,1.12899175785232,0,0,0,0,0.345212608327881,0.557526794001144,0,0,0,0,0.101470624437046,0.324695366857977,0,0,0,0,0.050108950339282,0.160343391040976,0,0,0,0,145.170546166284,136.084606472714,0,0,0,0,0.234703028385242,0.247237100295602,0,0,0,0,0.161597454097759,0.184071305272866,0,0,0,0.818181818179959,0.876923076921728,0.333333333330555,0.225806451612175,0.285714285712245,0.583333333330903,0.639344262294034,0.718749999998877,0.454545454541322,0.333333333332323,0.466666666663555,0.523809523808277,0.159090909090728,0.211009174311733,0.142857142856122,0.0555555555554012,0.124999999999219,0.0909090909089256
"4","T2-51_1_0","Mid-Long","standard",2,2,750.617283950617,0,0,0.295402526855469,0.248793029785156,0.485511779785156,0.353805541992188,0,0,0,0,0,0,0,0.844359618112422,1.33536805982001,0,0,0,0,0.416967712648109,0.659441017195067,0,0,0,0,0.160767536908483,0.394888699739652,0,0,0,0,0.0793913762511027,0.195006765303532,0,0,0,0,148.402060383219,133.979350283039,0,0,0,0,0.256990640092326,0.24400817088217,0,0,0,0,0.176159238961765,0.179687345337422,0,0,0,0.83999999999832,0.873015873014487,0.333333333330555,0.212121212120569,0.285714285712245,0.615384615382249,0.666666666664815,0.719298245612773,0.454545454541322,0.333333333332099,0.428571428568367,0.542857142855592,0.17777777777758,0.211538461538258,0.142857142856122,0.049999999999875,0.124999999999219,0.0909090909088154
"5","T2-51_2_0","Mid-Long","standard",2,2,604.938271604938,0,0,0.267799377441406,0.213966369628906,0.388534545898438,0.33465576171875,0,0,0,0,0,0,0,0.79492508892704,1.32501689733887,0,0,0,0,0.392555599470143,0.654329332019197,0,0,0,0,0.130511467222594,0.364299075361011,0,0,0,0,0.064450107270417,0.179900777956055,0,0,0,0,149.530227515985,135.417832807811,0,0,0,0,0.263335209268009,0.248507792053186,0,0,0,0,0.182221488833856,0.183740818667798,0,0,0,0.83999999999664,0.874999999997266,0.333333333330555,0.235294117646367,0.285714285712245,0.5999999999976,0.666666666663889,0.718309859153918,0.454545454541322,0.35999999999856,0.428571428568367,0.538461538460158,0.176470588235086,0.211267605633505,0.142857142856122,0.0666666666664444,0.124999999999219,0.0909090909088154
"6","T2-52_1_0","Mid-Long","dense",2,2,1111.11111111111,0,0,0.304206848144531,0.256980895996094,0.517097473144531,0.381698608398438,0,0,0,0,0,0,0,0.999051456545232,1.55951839736387,0,0,0,0,0.493358743972954,0.770132541908085,0,0,0,0,0.200809215759036,0.493588208008676,0,0,0,0,0.0991650448192769,0.243747263214161,0,0,0,0,152.045818802596,135.917481045783,0,0,0,0,0.270758584661021,0.245836675293404,0,0,0,0,0.185614113272339,0.179645849111855,0,0,0,0.846153846152544,0.871794871793754,0.333333333330555,0.238095238094104,0.285714285712245,0.636363636360744,0.666666666665657,0.717948717947797,0.454545454541322,0.363636363634711,0.428571428568367,0.555555555552469,0.191011235954842,0.213675213675031,0.142857142856122,0.076923076922781,0.124999999999219,0.0909090909088843
"7","T2-52_2_0","Mid-Long","dense",2,2,903.703703703704,0,0,0.300102233886719,0.257835388183594,0.488525390625,0.389976501464844,0,0,0,0,0,0,0,0.931631367992033,1.41976635390964,0,0,0,0,0.460064873082485,0.701119187115873,0,0,0,0,0.180586227959087,0.455245253822626,0,0,0,0,0.0891783841773267,0.224812471023519,0,0,0,0,153.155522010686,136.062173023153,0,0,0,0,0.268945246875294,0.255893756111987,0,0,0,0,0.186053224299122,0.188510194339275,0,0,0,0.851851851850274,0.874999999998633,0.333333333330555,0.212121212120569,0.285714285712245,0.629629629627298,0.671232876711409,0.718749999998877,0.454545454541322,0.333333333332099,0.384615384612426,0.555555555552469,0.186813186812982,0.207547169811125,0.142857142856122,0.0555555555554012,0.124999999999219,0.0869565217389413
"8","T2-53_1_0","High","dense",2,2,790.123456790123,0,0,0.288894653320312,0.246342468261719,0.448524475097656,0.345514678955078,0,0,0,0,0,0,0,0.83874986375836,1.22917784471746,0,0,0,0,0.414197463584375,0.607001404798744,0,0,0,0,0.15515871050725,0.352510835178553,0,0,0,0,0.0766215854356792,0.174079424779532,0,0,0,0,151.10597843181,137.681163490464,0,0,0,0,0.264711765108865,0.246517785678199,0,0,0,0,0.183776324249392,0.183116135647787,0,0,0,0.851851851850274,0.870967741934079,0.333333333330555,0.212121212120569,0.285714285712245,0.615384615382249,0.67272727272605,0.710144927535203,0.454545454541322,0.333333333332099,0.384615384612426,0.555555555554012,0.185185185184956,0.189189189189019,0.142857142856122,0.0588235294115916,0.124999999999219,0.0967741935480749
"9","T2-53_2_0","High","dense",2,2,686.41975308642,0,0,0.262420654296875,0.229545593261719,0.455734252929688,0.336090087890625,0,0,0,0,0,0,0,0.750917138443343,1.1232486786687,0,0,0,0,0.370823278243626,0.554690705515408,0,0,0,0,0.138980724988887,0.305036018877041,0,0,0,0,0.0686324567846353,0.150635071050391,0,0,0,0,146.66831958804,133.891211878946,0,0,0,0,0.244621228975293,0.232428635283983,0,0,0,0,0.169615594997488,0.171569050931875,0,0,0,0.83999999999832,0.866666666664741,0.333333333330555,0.199999999999428,0.285714285712245,0.583333333330903,0.666666666665079,0.699999999998833,0.454545454541322,0.312499999999023,0.384615384612426,0.545454545452066,0.173913043478072,0.17777777777758,0.142857142856122,0.0588235294115916,0.124999999999219,0.0952380952378684
